Arrest,Community Area,Counts
False,0.0,60
True,0.0,7
True,1.0,28967
False,1.0,82552
False,2.0,77805
True,2.0,14925
False,3.0,75134
True,3.0,30906
False,4.0,42534
True,4.0,9123
True,5.0,7568
False,5.0,34896
True,6.0,26148
False,6.0,119769
True,7.0,14830
False,7.0,96970
True,8.0,64154
False,8.0,190356
True,9.0,817
False,9.0,6313
True,10.0,4381
False,10.0,27048
False,11.0,24237
True,11.0,4663
False,12.0,11987
True,12.0,1396
True,13.0,4131
False,13.0,20198
False,14.0,50241
True,14.0,14590
True,15.0,19917
False,15.0,71683
True,16.0,14624
False,16.0,66642
True,17.0,6893
False,17.0,37784
True,18.0,2434
False,18.0,14829
True,19.0,30867
False,19.0,101492
False,20.0,32542
True,20.0,10888
True,21.0,13014
False,21.0,53635
False,22.0,119821
True,22.0,29075
True,23.0,83709
False,23.0,141234
True,24.0,37211
False,24.0,174136
True,25.0,167768
False,25.0,282346
False,26.0,77276
True,26.0,58493
False,27.0,83762
True,27.0,51196
False,28.0,166693
True,28.0,52359
True,29.0,76736
False,29.0,133474
True,30.0,33167
False,30.0,88298
False,31.0,52781
True,31.0,18362
False,32.0,135618
True,32.0,43932
False,33.0,38983
True,33.0,16886
True,34.0,6177
False,34.0,21275
True,35.0,27573
False,35.0,53010
False,36.0,13778
True,36.0,2983
False,37.0,15744
True,37.0,8229
True,38.0,26367
False,38.0,73821
True,39.0,7066
False,39.0,34945
True,40.0,20778
False,40.0,55674
True,41.0,6551
False,41.0,40164
False,42.0,82074
True,42.0,33570
True,43.0,53615
False,43.0,185000
True,44.0,39624
False,44.0,120144
False,45.0,30175
True,45.0,6773
True,46.0,32988
False,46.0,100366
True,47.0,2238
False,47.0,8597
False,48.0,32668
True,48.0,6838
False,49.0,141885
True,49.0,49921
False,50.0,22621
True,50.0,6624
True,51.0,10271
False,51.0,37614
False,52.0,28676
True,52.0,7201
True,53.0,28566
False,53.0,89326
False,54.0,25498
True,54.0,7256
True,55.0,2754
False,55.0,13346
False,56.0,45572
True,56.0,14120
True,57.0,4727
False,57.0,21315
True,58.0,16989
False,58.0,52577
True,59.0,6785
False,59.0,22525
False,60.0,37601
True,60.0,8469
True,61.0,46598
False,61.0,98719
True,62.0,5077
False,62.0,22798
True,63.0,16362
False,63.0,49451
False,64.0,24384
True,64.0,4437
True,65.0,11636
False,65.0,41544
True,66.0,46165
False,66.0,129529
True,67.0,59003
False,67.0,146691
True,68.0,51582
False,68.0,136338
True,69.0,46180
False,69.0,133938
True,70.0,10174
False,70.0,55301
True,71.0,51750
False,71.0,152946
False,72.0,22807
True,72.0,3393
True,73.0,18773
False,73.0,67355
True,74.0,2518
False,74.0,13668
True,75.0,12281
False,75.0,45282
True,76.0,9411
False,76.0,31303
False,77.0,57161
True,77.0,15368
